## Лист: Расчет стоимости
		Приложение № 2																			
		к муниципальному контракту №____ 																			
		от "____" _______________2026 г.																			
РАСЧЕТ СТОИМОСТИ РАБОТ																					
Капитальный ремонт сетей водоснабжения в г. Поронайске по ул. Восточная, 162А																					
																					
№ п/п	Наименование работ	Ед. изм.	Объем	Стоимость единицы	Общая стоимость																
1	2	3	4	5	6																
Земляные работы									Земляные работы.												
1	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью не менее 0,5 (0,5-0,63) м3, группа грунтов: 2	1000 м3	0.404	173449.45544554456	70073.58																
2	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов: 2	100 м3	0.13	320421.8461538461	41654.84																
3	Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью: не менее 121 кВт (165 л.с.), группа грунтов 2	1000 м3	0.417	20396.76258992806	8505.45																
Демонтажные работы																					
4	Демонтаж стальных водопроводных труб с гидравлическим испытанием диаметром: 100 мм	км	0.149	638674.5637583892	95162.51																
5	Демонтаж круглых колодцев из сборного железобетона в грунтах: мокрых	м3	0.146	261988.08219178085	38250.26																
6	Погрузка в автотранспортное средство: мусор строительный с погрузкой экскаваторами емкостью ковша до 0,5 м3	т	4.595	127.74972796517955	587.01																
7	Перевозка на расстояние 5 км (производственный объект расположенный по адресу г. Поронайск, ул. Западная, 28)	т	4.595	218.90097932535366	1005.85																
Монтажные работы									Монтажные работы.												
Прокладка трубопровода (ГНБ)									Прокладка трубопровода (ГНБ)												
8	Монтаж установки горизонтально направленного бурения: с тяговым усилием 20 тс (200 кН)	шт	2	5530.005	11060.01																
9	Устройство закрытого подземного перехода методом ГНБ с поэтапным расширением скважины для полиэтиленовых труб в грунтах I-III группы установками с тяговым усилием 20 тс (200 кН): для труб Dу=110 мм длиной до 400 м	м	106	15452.79320754717	1637996.08																
10	Трубы напорные полиэтиленовые, кроме газопроводных ПЭ100, для транспортировки воды, стандартное размерное отношение SDR11, номинальный наружный диаметр 110 мм, толщина стенки не менее 10 мм	м	106	907.98	96245.88																
11	Порошок (глинопорошок) бентонитовый для приготовления буровых растворов, выход раствора 20,0-23,0 м3/т	т	0.8586	30444.945259725133	26140.03																
